Year,CO2 emissions (metric tons per capita),GDP (current US$),GDP growth (annual %),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Military expenditure (% of GDP),Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Urban population growth (annual %),GDP per capita (current US$),Population in largest city,Population in urban agglomerations of more than 1 million,"Population, female","Population, male","Population, male (% of total)","Population, female (% of total)",Mobile cellular subscriptions (per 100 people)
1960,10.77084729,41093453545,..,16.96605566,18.13555927,4.18525654,..,2.298626535,17909009,3.162456553,2294.568814,2031108,5390421,8851741,9057268,50.57381086,49.42618914,0
1961,10.62789765,40767969454,3.163291684,17.75291513,18.05176693,4.128312243,2.009235158,2.00112211,18271000,2.876210515,2231.293824,2114517,5623450,9040305,9230695,50.52101726,49.47898274,..
1962,11.13062748,41978852041,7.116779267,17.7825631,17.79289882,3.999216389,2.046954366,1.859888233,18614000,3.038539008,2255.230044,2176403,5827886,9221831,9392169,50.45755262,49.54244738,..
1963,11.1321024,44657169109,5.181776082,18.25308649,17.44946007,3.620650112,2.085443355,1.862845928,18964000,3.009533548,2354.839122,2240102,6040753,9408033,9555967,50.3900396,49.6099604,..
1964,12.3053704,48882938810,6.699456682,19.18762474,18.15451673,3.402062837,2.125141997,1.885714943,19325000,3.001383051,2529.518179,2305756,6262776,9599279,9725721,50.32714722,49.67285278,..
1965,12.81400147,53909570342,6.636545139,18.53610766,18.65312117,2.930260659,2.163960891,1.810166597,19678000,2.892943143,2739.585849,2373145,6493451,9784951,9893049,50.27466666,49.72533334,0
1966,12.93491815,60358632035,6.584965408,19.3370651,19.30630827,2.683282422,2.20464925,1.862813771,20048000,2.886473167,3010.705908,2441566,6732676,9977130,10070870,50.23379012,49.76620988,..
1967,13.8103546,64768831262,2.91531036,20.26860949,19.2523871,2.74792677,2.244677798,1.799356505,20412000,2.493558436,3173.076194,2500090,6964220,10164729,10247271,50.20218776,49.79781224,..
1968,14.6326452,70759031842,5.295341864,21.19723319,19.98266478,2.54364188,2.281187352,1.613408503,20744000,2.294780457,3411.060154,2560101,7204486,10335090,10408910,50.17793282,49.82206718,..
1969,14.61864861,77887510242,5.260000826,21.24546163,21.14291917,2.27378467,2.312418417,1.359783472,21028000,2.025906591,3703.990405,2621381,7452775,10480782,10547218,50.1579691,49.8420309,..
1970,16.01414875,87896095224,3.25561362,21.92223298,19.38059594,2.188979696,2.344969104,1.3978316,21324000,2.051615806,4121.932809,2684215,7710429,10632184,10691816,50.13982362,49.86017638,0
1971,16.29009027,99271961478,4.117657617,21.0688609,19.40821551,2.131485639,2.380327838,1.496599865,21645535,2.071255785,4586.255848,2744174,7963535,10795924,10849611,50.12401243,49.87598757,..
1972,17.329425,1.13083E+11,5.44585558,21.28965336,20.35352044,2.011818438,2.418607446,1.595371383,21993631,1.438850239,5141.616725,2755944,8066825,10972537,11021094,50.11038893,49.88961107,..
1973,17.05995183,1.31322E+11,6.964202919,22.77137812,21.33904857,1.832601818,2.459931094,1.694139969,22369408,1.536064507,5870.600564,2767733,8171695,11163418,11205990,50.09515525,49.90484475,..
1974,17.12344306,1.60409E+11,3.690987649,24.08130452,23.88963479,1.783813085,2.504433052,1.792904339,22774087,1.634573179,7043.474351,2779588,8278623,11370241,11403846,50.07377993,49.92622007,..
1975,17.11161334,1.73834E+11,1.822973129,22.03845292,23.70728561,1.863541853,2.552259798,1.891677995,23209000,1.733095783,7489.940531,2791494,8387503,11594419,11614581,50.04343761,49.95656239,0
1976,16.97924845,2.06576E+11,5.199302435,21.75675015,22.40859316,1.765927978,2.586240077,1.322595092,23518000,1.179659157,8783.721592,2807079,8499123,11758334,11759666,50.0028329,49.9971671,0
1977,17.15211666,2.11612E+11,3.458230601,22.7746946,22.89373924,1.8057636,2.61681133,1.175141392,23796000,1.228101243,8892.76168,2855955,8619424,11908985,11887015,49.95383837,50.04616163,0
